Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
HSI,2021-03-17,28992.24023,29180.00977,28780.23047,29034.11914,29034.11914,1901329200.0,3774.4354882
HSI,2021-03-18,29317.60938,29596.58008,29317.60938,29405.7207,29405.7207,2113745200.0,3822.743691
HSI,2021-03-19,29158.48047,29271.40039,28737.53906,28990.93945,28990.93945,3814440800.0,3768.8221285
HSI,2021-03-22,28801.08984,29139.07031,28801.08984,28885.33984,28885.33984,2065830600.0,3755.0941792
HSI,2021-03-23,29008.01953,29043.17969,28376.2207,28497.38086,28497.38086,2049560300.0,3704.659511800001
HSI,2021-03-24,28437.49023,28457.86914,27827.05078,27918.14063,27918.14063,2689142400.0,3629.3582819
HSI,2021-03-25,27628.08008,28032.00977,27505.08008,27899.60938,27899.60938,2595007600.0,3626.9492194
HSI,2021-03-26,28043.65039,28415.15039,28014.28906,28336.42969,28336.42969,2415384100.0,3683.7358597
HSI,2021-03-29,28317.32031,28484.66016,28132.35938,28338.30078,28338.30078,2847744100.0,3683.9791014
HSI,2021-03-30,28552.76953,28694.15039,28371.23047,28577.5,28577.5,2269839800.0,3715.075
HSI,2021-03-31,28802.5293,28802.5293,28332.7793,28378.34961,28378.34961,2703755400.0,3689.1854493
HSI,2021-04-01,28594.55078,28938.74023,28511.65039,28938.74023,28938.74023,2232972100.0,3762.0362299
HSI,2021-04-07,29101.40039,29101.40039,28598.85938,28674.80078,28674.80078,2223606300.0,3727.7241014
HSI,2021-04-08,28604.11914,29054.82031,28587.10938,29008.07031,29008.07031,2522329300.0,3771.0491403
HSI,2021-04-09,29152.43945,29152.43945,28604.55078,28698.80078,28698.80078,1897265800.0,3730.844101400001
HSI,2021-04-12,28791.9707,28791.9707,28274.26953,28453.2793,28453.2793,1992325200.0,3698.926309
HSI,2021-04-13,28557.83984,28877.15039,28452.11914,28497.25,28497.25,2062117300.0,3704.6425
HSI,2021-04-14,28796.55078,28979.34961,28685.06055,28900.83008,28900.83008,1941501600.0,3757.1079104
